127.0.0.1 - - [29/Apr/2020:16:30:49 +0200] "GET / HTTP/1.1" 404 709
0:0:0:0:0:0:0:1 - - [29/Apr/2020:16:30:52 +0200] "GET /MainApp/ HTTP/1.1" 200 2749
0:0:0:0:0:0:0:1 - - [29/Apr/2020:16:30:52 +0200] "GET /MainApp/styles/style.css HTTP/1.1" 200 1393
0:0:0:0:0:0:0:1 - - [29/Apr/2020:16:30:52 +0200] "GET /MainApp/scripts/login.js HTTP/1.1" 200 149
127.0.0.1 - - [29/Apr/2020:16:31:20 +0200] "GET /MainApp/ HTTP/1.1" 200 2749
127.0.0.1 - - [29/Apr/2020:16:31:20 +0200] "GET /MainApp/styles/style.css HTTP/1.1" 200 1393
127.0.0.1 - - [29/Apr/2020:16:31:20 +0200] "GET /MainApp/scripts/login.js HTTP/1.1" 200 149
127.0.0.1 - - [29/Apr/2020:16:31:21 +0200] "GET /favicon.ico HTTP/1.1" 404 720
127.0.0.1 - - [29/Apr/2020:16:31:30 +0200] "POST /MainApp/?action=login HTTP/1.1" 200 9666
127.0.0.1 - - [29/Apr/2020:16:31:30 +0200] "GET /MainApp/styles/weather.css HTTP/1.1" 200 629
127.0.0.1 - - [29/Apr/2020:16:31:31 +0200] "GET /MainApp/styles/sharePost.css HTTP/1.1" 304 -
127.0.0.1 - - [29/Apr/2020:16:31:31 +0200] "GET /MainApp/styles/iconSocialNetworks.css HTTP/1.1" 304 -
127.0.0.1 - - [29/Apr/2020:16:31:31 +0200] "GET /MainApp/scripts/index.js HTTP/1.1" 200 28211
127.0.0.1 - - [29/Apr/2020:16:31:31 +0200] "GET /MainApp/styles/post.css HTTP/1.1" 304 -
127.0.0.1 - - [29/Apr/2020:16:31:31 +0200] "GET /MainApp/images/test.png HTTP/1.1" 304 -
127.0.0.1 - - [29/Apr/2020:16:31:41 +0200] "GET /MainApp/api/rss/ HTTP/1.1" 200 52715
127.0.0.1 - - [29/Apr/2020:16:31:41 +0200] "GET /MainApp/api/user HTTP/1.1" 200 974
127.0.0.1 - - [29/Apr/2020:16:31:41 +0200] "GET /MainApp/api/post HTTP/1.1" 200 5232
127.0.0.1 - - [29/Apr/2020:16:31:41 +0200] "GET /MainApp/api/user/4 HTTP/1.1" 200 297
127.0.0.1 - - [29/Apr/2020:17:03:25 +0200] "POST /MainApp/?action=login HTTP/1.1" 200 9666
127.0.0.1 - - [29/Apr/2020:17:03:25 +0200] "GET /MainApp/styles/weather.css HTTP/1.1" 304 -
127.0.0.1 - - [29/Apr/2020:17:03:25 +0200] "GET /MainApp/styles/sharePost.css HTTP/1.1" 304 -
127.0.0.1 - - [29/Apr/2020:17:03:25 +0200] "GET /MainApp/scripts/index.js HTTP/1.1" 200 28224
127.0.0.1 - - [29/Apr/2020:17:03:25 +0200] "GET /MainApp/styles/iconSocialNetworks.css HTTP/1.1" 304 -
127.0.0.1 - - [29/Apr/2020:17:03:25 +0200] "GET /MainApp/styles/post.css HTTP/1.1" 304 -
127.0.0.1 - - [29/Apr/2020:17:03:27 +0200] "GET /MainApp/images/test.png HTTP/1.1" 304 -
127.0.0.1 - - [29/Apr/2020:17:03:36 +0200] "GET /MainApp/api/user/4 HTTP/1.1" 200 297
127.0.0.1 - - [29/Apr/2020:17:03:36 +0200] "GET /MainApp/api/user HTTP/1.1" 200 974
127.0.0.1 - - [29/Apr/2020:17:03:36 +0200] "GET /MainApp/api/rss/ HTTP/1.1" 200 52715
127.0.0.1 - - [29/Apr/2020:17:03:36 +0200] "GET /MainApp/api/post HTTP/1.1" 200 5232
127.0.0.1 - - [29/Apr/2020:17:03:48 +0200] "POST /MainApp/?action=login HTTP/1.1" 200 9666
127.0.0.1 - - [29/Apr/2020:17:03:48 +0200] "GET /MainApp/styles/weather.css HTTP/1.1" 304 -
127.0.0.1 - - [29/Apr/2020:17:03:48 +0200] "GET /MainApp/styles/iconSocialNetworks.css HTTP/1.1" 304 -
127.0.0.1 - - [29/Apr/2020:17:03:48 +0200] "GET /MainApp/scripts/index.js HTTP/1.1" 304 -
127.0.0.1 - - [29/Apr/2020:17:03:48 +0200] "GET /MainApp/styles/post.css HTTP/1.1" 304 -
127.0.0.1 - - [29/Apr/2020:17:03:48 +0200] "GET /MainApp/styles/sharePost.css HTTP/1.1" 304 -
127.0.0.1 - - [29/Apr/2020:17:03:50 +0200] "GET /MainApp/images/test.png HTTP/1.1" 304 -
127.0.0.1 - - [29/Apr/2020:17:03:51 +0200] "GET /MainApp/api/user HTTP/1.1" 200 974
127.0.0.1 - - [29/Apr/2020:17:03:51 +0200] "GET /MainApp/api/user/4 HTTP/1.1" 200 297
127.0.0.1 - - [29/Apr/2020:17:03:51 +0200] "GET /MainApp/api/post HTTP/1.1" 200 5232
127.0.0.1 - - [29/Apr/2020:17:03:51 +0200] "GET /MainApp/api/rss/ HTTP/1.1" 200 52698
127.0.0.1 - - [29/Apr/2020:17:04:06 +0200] "POST /MainApp/?action=login HTTP/1.1" 200 9666
127.0.0.1 - - [29/Apr/2020:17:04:07 +0200] "GET /MainApp/styles/weather.css HTTP/1.1" 304 -
127.0.0.1 - - [29/Apr/2020:17:04:07 +0200] "GET /MainApp/styles/iconSocialNetworks.css HTTP/1.1" 304 -
127.0.0.1 - - [29/Apr/2020:17:04:07 +0200] "GET /MainApp/scripts/index.js HTTP/1.1" 304 -
127.0.0.1 - - [29/Apr/2020:17:04:07 +0200] "GET /MainApp/styles/sharePost.css HTTP/1.1" 304 -
127.0.0.1 - - [29/Apr/2020:17:04:07 +0200] "GET /MainApp/styles/post.css HTTP/1.1" 304 -
127.0.0.1 - - [29/Apr/2020:17:04:08 +0200] "GET /MainApp/images/test.png HTTP/1.1" 304 -
127.0.0.1 - - [29/Apr/2020:17:04:08 +0200] "GET /MainApp/api/user/4 HTTP/1.1" 200 297
127.0.0.1 - - [29/Apr/2020:17:04:08 +0200] "GET /MainApp/api/user HTTP/1.1" 200 974
127.0.0.1 - - [29/Apr/2020:17:04:08 +0200] "GET /MainApp/api/post HTTP/1.1" 200 5232
127.0.0.1 - - [29/Apr/2020:17:04:08 +0200] "GET /MainApp/api/rss/ HTTP/1.1" 200 52715
127.0.0.1 - - [29/Apr/2020:17:04:12 +0200] "POST /MainApp/?action=logout HTTP/1.1" 200 2749
127.0.0.1 - - [29/Apr/2020:17:04:12 +0200] "GET /MainApp/styles/style.css HTTP/1.1" 200 1393
127.0.0.1 - - [29/Apr/2020:17:04:17 +0200] "POST /MainApp/?action=login HTTP/1.1" 200 9666
127.0.0.1 - - [29/Apr/2020:17:04:17 +0200] "GET /MainApp/scripts/index.js HTTP/1.1" 304 -
127.0.0.1 - - [29/Apr/2020:17:04:18 +0200] "GET /MainApp/api/user/4 HTTP/1.1" 200 297
127.0.0.1 - - [29/Apr/2020:17:04:18 +0200] "GET /MainApp/api/user HTTP/1.1" 200 974
127.0.0.1 - - [29/Apr/2020:17:04:18 +0200] "GET /MainApp/api/post HTTP/1.1" 200 5232
127.0.0.1 - - [29/Apr/2020:17:04:19 +0200] "GET /MainApp/api/rss/ HTTP/1.1" 200 52715
127.0.0.1 - - [29/Apr/2020:17:04:33 +0200] "POST /MainApp/?action=login HTTP/1.1" 200 9666
127.0.0.1 - - [29/Apr/2020:17:04:33 +0200] "GET /MainApp/styles/iconSocialNetworks.css HTTP/1.1" 304 -
127.0.0.1 - - [29/Apr/2020:17:04:33 +0200] "GET /MainApp/styles/weather.css HTTP/1.1" 304 -
127.0.0.1 - - [29/Apr/2020:17:04:33 +0200] "GET /MainApp/styles/sharePost.css HTTP/1.1" 304 -
127.0.0.1 - - [29/Apr/2020:17:04:33 +0200] "GET /MainApp/scripts/index.js HTTP/1.1" 200 28064
127.0.0.1 - - [29/Apr/2020:17:04:33 +0200] "GET /MainApp/styles/post.css HTTP/1.1" 304 -
127.0.0.1 - - [29/Apr/2020:17:04:35 +0200] "GET /MainApp/images/test.png HTTP/1.1" 304 -
127.0.0.1 - - [29/Apr/2020:17:04:36 +0200] "GET /MainApp/api/user/4 HTTP/1.1" 200 297
127.0.0.1 - - [29/Apr/2020:17:04:36 +0200] "GET /MainApp/api/user HTTP/1.1" 200 974
127.0.0.1 - - [29/Apr/2020:17:04:36 +0200] "GET /MainApp/api/post HTTP/1.1" 200 5232
127.0.0.1 - - [29/Apr/2020:17:04:36 +0200] "GET /MainApp/api/rss/ HTTP/1.1" 200 52707
127.0.0.1 - - [29/Apr/2020:17:14:13 +0200] "POST /MainApp/?action=logout HTTP/1.1" 200 2749
127.0.0.1 - - [29/Apr/2020:17:14:13 +0200] "GET /MainApp/styles/style.css HTTP/1.1" 200 1393
127.0.0.1 - - [29/Apr/2020:17:16:36 +0200] "POST /MainApp/?action=login HTTP/1.1" 200 9666
127.0.0.1 - - [29/Apr/2020:17:16:36 +0200] "GET /MainApp/scripts/index.js HTTP/1.1" 200 28110
127.0.0.1 - - [29/Apr/2020:17:16:37 +0200] "GET /MainApp/api/user/4 HTTP/1.1" 200 297
127.0.0.1 - - [29/Apr/2020:17:16:37 +0200] "GET /MainApp/api/user HTTP/1.1" 200 974
127.0.0.1 - - [29/Apr/2020:17:16:38 +0200] "GET /MainApp/api/post HTTP/1.1" 200 5232
127.0.0.1 - - [29/Apr/2020:17:16:38 +0200] "GET /MainApp/api/rss/ HTTP/1.1" 200 52698
127.0.0.1 - - [29/Apr/2020:17:16:55 +0200] "POST /MainApp/?action=login HTTP/1.1" 200 9666
127.0.0.1 - - [29/Apr/2020:17:16:55 +0200] "GET /MainApp/styles/iconSocialNetworks.css HTTP/1.1" 304 -
127.0.0.1 - - [29/Apr/2020:17:16:55 +0200] "GET /MainApp/styles/weather.css HTTP/1.1" 304 -
127.0.0.1 - - [29/Apr/2020:17:16:55 +0200] "GET /MainApp/scripts/index.js HTTP/1.1" 304 -
127.0.0.1 - - [29/Apr/2020:17:16:55 +0200] "GET /MainApp/styles/sharePost.css HTTP/1.1" 304 -
127.0.0.1 - - [29/Apr/2020:17:16:55 +0200] "GET /MainApp/styles/post.css HTTP/1.1" 304 -
127.0.0.1 - - [29/Apr/2020:17:16:56 +0200] "GET /MainApp/images/test.png HTTP/1.1" 304 -
127.0.0.1 - - [29/Apr/2020:17:16:57 +0200] "GET /MainApp/api/user/4 HTTP/1.1" 200 297
127.0.0.1 - - [29/Apr/2020:17:16:57 +0200] "GET /MainApp/api/user HTTP/1.1" 200 974
127.0.0.1 - - [29/Apr/2020:17:16:57 +0200] "GET /MainApp/api/post HTTP/1.1" 200 5232
127.0.0.1 - - [29/Apr/2020:17:16:57 +0200] "GET /MainApp/api/rss/ HTTP/1.1" 200 52715
127.0.0.1 - - [29/Apr/2020:17:36:51 +0200] "POST /MainApp/?action=logout HTTP/1.1" 200 2749
127.0.0.1 - - [29/Apr/2020:17:36:52 +0200] "GET /MainApp/styles/style.css HTTP/1.1" 304 -
127.0.0.1 - - [29/Apr/2020:17:36:57 +0200] "POST /MainApp/?action=login HTTP/1.1" 200 9666
127.0.0.1 - - [29/Apr/2020:17:36:57 +0200] "GET /MainApp/scripts/index.js HTTP/1.1" 200 28585
127.0.0.1 - - [29/Apr/2020:17:37:05 +0200] "GET /MainApp/api/posts/getDangerPostGroup HTTP/1.1" 404 713
127.0.0.1 - - [29/Apr/2020:17:37:06 +0200] "GET /MainApp/api/user HTTP/1.1" 200 974
127.0.0.1 - - [29/Apr/2020:17:37:06 +0200] "GET /MainApp/api/post HTTP/1.1" 200 5232
127.0.0.1 - - [29/Apr/2020:17:37:06 +0200] "GET /MainApp/api/user/4 HTTP/1.1" 200 297
127.0.0.1 - - [29/Apr/2020:17:37:06 +0200] "GET /MainApp/api/rss/ HTTP/1.1" 200 52715
127.0.0.1 - - [29/Apr/2020:17:37:52 +0200] "POST /MainApp/?action=login HTTP/1.1" 200 9666
127.0.0.1 - - [29/Apr/2020:17:37:52 +0200] "GET /MainApp/styles/weather.css HTTP/1.1" 304 -
127.0.0.1 - - [29/Apr/2020:17:37:52 +0200] "GET /MainApp/styles/iconSocialNetworks.css HTTP/1.1" 304 -
127.0.0.1 - - [29/Apr/2020:17:37:52 +0200] "GET /MainApp/scripts/index.js HTTP/1.1" 200 28587
127.0.0.1 - - [29/Apr/2020:17:37:52 +0200] "GET /MainApp/styles/sharePost.css HTTP/1.1" 304 -
127.0.0.1 - - [29/Apr/2020:17:37:52 +0200] "GET /MainApp/styles/post.css HTTP/1.1" 304 -
127.0.0.1 - - [29/Apr/2020:17:37:54 +0200] "GET /MainApp/images/test.png HTTP/1.1" 304 -
127.0.0.1 - - [29/Apr/2020:17:37:54 +0200] "GET /MainApp/api/user/4 HTTP/1.1" 200 297
127.0.0.1 - - [29/Apr/2020:17:37:54 +0200] "GET /MainApp/api/post HTTP/1.1" 200 5232
127.0.0.1 - - [29/Apr/2020:17:37:54 +0200] "GET /MainApp/api/posts/getDangerPostGroup HTTP/1.1" 404 713
127.0.0.1 - - [29/Apr/2020:17:37:54 +0200] "GET /MainApp/api/user HTTP/1.1" 200 974
127.0.0.1 - - [29/Apr/2020:17:37:55 +0200] "GET /MainApp/api/rss/ HTTP/1.1" 200 52657
127.0.0.1 - - [29/Apr/2020:17:38:16 +0200] "POST /MainApp/?action=login HTTP/1.1" 200 9666
127.0.0.1 - - [29/Apr/2020:17:38:17 +0200] "GET /MainApp/styles/weather.css HTTP/1.1" 200 629
