127.0.0.1 - - [10/Jun/2020:18:00:13 +0200] "GET / HTTP/1.1" 404 709
0:0:0:0:0:0:0:1 - - [10/Jun/2020:18:00:16 +0200] "GET /MainApp/ HTTP/1.1" 200 2749
0:0:0:0:0:0:0:1 - - [10/Jun/2020:18:00:16 +0200] "GET /MainApp/styles/style.css HTTP/1.1" 200 1432
0:0:0:0:0:0:0:1 - - [10/Jun/2020:18:00:16 +0200] "GET /MainApp/scripts/login.js HTTP/1.1" 200 149
0:0:0:0:0:0:0:1 - - [10/Jun/2020:18:00:33 +0200] "GET /MainApp/?action=logout HTTP/1.1" 200 2749
0:0:0:0:0:0:0:1 - - [10/Jun/2020:18:00:34 +0200] "GET /favicon.ico HTTP/1.1" 404 720
0:0:0:0:0:0:0:1 - - [10/Jun/2020:18:00:58 +0200] "POST /MainApp/?action=login HTTP/1.1" 200 8506
0:0:0:0:0:0:0:1 - - [10/Jun/2020:18:00:58 +0200] "GET /MainApp/images/korisnik1.png HTTP/1.1" 200 51275
0:0:0:0:0:0:0:1 - - [10/Jun/2020:18:00:58 +0200] "GET /MainApp/scripts/index.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Jun/2020:18:01:11 +0200] "GET /MainApp/api/rss/ HTTP/1.1" 200 53189
0:0:0:0:0:0:0:1 - - [10/Jun/2020:18:01:11 +0200] "GET /MainApp/api/post HTTP/1.1" 200 259
0:0:0:0:0:0:0:1 - - [10/Jun/2020:18:01:11 +0200] "GET /MainApp/api/post HTTP/1.1" 200 259
0:0:0:0:0:0:0:1 - - [10/Jun/2020:18:01:11 +0200] "GET /MainApp/api/user/4 HTTP/1.1" 200 442
0:0:0:0:0:0:0:1 - - [10/Jun/2020:18:01:11 +0200] "GET /MainApp/api/user HTTP/1.1" 200 1370
0:0:0:0:0:0:0:1 - - [10/Jun/2020:18:01:11 +0200] "GET /MainApp/api/post/getDangerPostGroup HTTP/1.1" 200 174
0:0:0:0:0:0:0:1 - - [10/Jun/2020:18:01:12 +0200] "GET /MainApp/api/post/1 HTTP/1.1" 200 5
0:0:0:0:0:0:0:1 - - [10/Jun/2020:18:01:12 +0200] "GET /MainApp/api/post/getCommentForPost/1 HTTP/1.1" 200 2
0:0:0:0:0:0:0:1 - - [10/Jun/2020:18:01:12 +0200] "GET /MainApp/api/dangerPost/1 HTTP/1.1" 200 16
0:0:0:0:0:0:0:1 - - [10/Jun/2020:18:01:12 +0200] "GET /MainApp/api/dangerPost/4 HTTP/1.1" 200 4
0:0:0:0:0:0:0:1 - - [10/Jun/2020:18:01:20 +0200] "GET /MainApp/api/post HTTP/1.1" 200 259
0:0:0:0:0:0:0:1 - - [10/Jun/2020:18:01:29 +0200] "POST /MainApp/api/post/addComment HTTP/1.1" 200 1
0:0:0:0:0:0:0:1 - - [10/Jun/2020:18:01:30 +0200] "GET /MainApp/api/post HTTP/1.1" 200 259
0:0:0:0:0:0:0:1 - - [10/Jun/2020:18:01:40 +0200] "GET /MainApp/api/post HTTP/1.1" 200 259
0:0:0:0:0:0:0:1 - - [10/Jun/2020:18:01:50 +0200] "GET /MainApp/api/post HTTP/1.1" 200 259
0:0:0:0:0:0:0:1 - - [10/Jun/2020:18:02:00 +0200] "GET /MainApp/api/post HTTP/1.1" 200 259
0:0:0:0:0:0:0:1 - - [10/Jun/2020:18:02:00 +0200] "GET /MainApp/api/post HTTP/1.1" 200 259
0:0:0:0:0:0:0:1 - - [10/Jun/2020:18:02:00 +0200] "GET /MainApp/api/post/1 HTTP/1.1" 200 5
0:0:0:0:0:0:0:1 - - [10/Jun/2020:18:02:00 +0200] "GET /MainApp/api/post/getCommentForPost/1 HTTP/1.1" 200 111
0:0:0:0:0:0:0:1 - - [10/Jun/2020:18:02:01 +0200] "GET /MainApp/api/dangerPost/1 HTTP/1.1" 200 16
0:0:0:0:0:0:0:1 - - [10/Jun/2020:18:02:01 +0200] "GET /MainApp/api/dangerPost/4 HTTP/1.1" 200 4
0:0:0:0:0:0:0:1 - - [10/Jun/2020:18:02:10 +0200] "GET /MainApp/api/post HTTP/1.1" 200 259
